recclass,count,obs_cv,obs_varlog,obs_mad_ratio,obs_n,total_survived,z_null1_cv,p_null1_cv,surv_null1_cv,z_null1_varlog,p_null1_varlog,surv_null1_varlog,z_null1_mad_ratio,p_null1_mad_ratio,surv_null1_mad_ratio,z_null2_cv,p_null2_cv,surv_null2_cv,z_null2_varlog,p_null2_varlog,surv_null2_varlog,z_null2_mad_ratio,p_null2_mad_ratio,surv_null2_mad_ratio,z_null3_cv,p_null3_cv,surv_null3_cv,z_null3_varlog,p_null3_varlog,surv_null3_varlog,z_null3_mad_ratio,p_null3_mad_ratio,surv_null3_mad_ratio,z_null4_cv,p_null4_cv,surv_null4_cv,z_null4_varlog,p_null4_varlog,surv_null4_varlog,z_null4_mad_ratio,p_null4_mad_ratio,surv_null4_mad_ratio,z_null5_cv,p_null5_cv,surv_null5_cv,z_null5_varlog,p_null5_varlog,surv_null5_varlog,z_null5_mad_ratio,p_null5_mad_ratio,surv_null5_mad_ratio
OC,73,5.584734637355371,6.069093042119611,0.9172727272727272,73,6,0.15413944209933592,0.84,False,-0.23521287179507386,0.94,False,-0.2538421994248882,0.6,False,0.33293766828046145,0.66,False,-2.3476218094098127,0.0,True,-5.194088150390555,0.02,True,0.40720196737266967,0.62,False,-3.77797703600258,0.0,True,-14.038774897187693,0.0,True,0.5918755234054827,0.44,False,-2.2640378940695123,0.02,True,-3.13176663013779,0.06,False,0.33293766828046145,0.66,False,-2.3476218094098127,0.0,True,-5.194088150390572,0.02,False
CK5,94,2.7420792158869087,2.713576569577521,0.7628227194492255,94,6,-1.4321135576024102,0.12,False,-3.136990364895257,0.0,True,-5.6944788587377,0.0,True,-1.5943204580515635,0.04,False,-1.661532656500348,0.02,True,-1.5409293509316566,0.18,False,-1.114433585501232,0.24,False,-1.7500819858496628,0.02,True,-1.7425952337370225,0.06,False,-1.4087652748498303,0.1,False,-1.6741624204321224,0.0,True,-1.6159541669480333,0.14,False,-1.5943204580515633,0.04,False,-1.661532656500348,0.02,True,-1.5409293509316566,0.18,False
L3.8,66,3.1131415379097453,3.5770342536576747,0.8362562071783268,66,6,-0.8618318618035815,0.4,False,-2.1239182073354246,0.02,True,-2.5705677743589392,0.04,True,-0.9678779803969381,0.36,False,-1.7407044444536486,0.0,True,-1.6470595740074974,0.18,False,-0.41892895230479066,0.84,False,-1.3465377710631725,0.1,False,-1.5834531891757568,0.14,False,-0.887338898790853,0.32,False,-1.8591997906499436,0.0,True,-1.823086933774892,0.02,True,-0.9678779803969383,0.36,False,-1.7407044444536486,0.0,True,-1.647059574007494,0.18,False
LL3,128,2.810596712232832,4.4342150219786625,0.9195612431444241,128,5,-1.6950403014303614,0.02,True,-1.898399833251516,0.02,True,-0.23867666179722144,0.76,False,-1.6049489454296064,0.02,False,-2.2235026770985717,0.02,True,-0.5493852922266237,0.52,False,-1.306787014803437,0.08,False,-1.7649138804269635,0.0,True,-0.6314738112263265,0.52,False,-1.498382897468471,0.04,False,-1.8427644142022868,0.02,True,-0.7864644089879159,0.42,False,-1.3735442233410833,0.12,False,-1.6475189382977642,0.04,False,-0.2754774724314999,0.82,False
LL6,2043,10.808168123077506,4.237018141827892,0.8889610389610391,2043,5,-1.209336212992129,0.14,False,-10.167069794258822,0.0,True,-7.169237263173524,0.0,True,-1.2225507813686687,0.14,False,-5.235420151793438,0.0,True,0.6424569262363963,0.62,False,-1.077104152172968,0.24,False,-4.539590261981659,0.0,True,0.4330616791494138,0.62,False,-1.159550336613634,0.12,False,-4.734061281641897,0.0,True,0.5649477913968591,0.6,False,-0.35828341436963845,0.72,False,-0.9449138910304313,0.26,False,0.012549306455044254,0.88,False
H5,7138,23.62173029914869,5.6568616037638515,0.903225806451613,7138,5,-1.534653512055328,0.18,False,-5.8954053949667715,0.0,True,-9.763487860884826,0.0,True,-1.9004537089731484,0.06,False,-2.8758189168999135,0.0,True,-1.573344277133094,0.04,False,-1.1564483423813192,0.34,False,-2.1554007190113285,0.02,True,-1.5029561915948642,0.08,False,-1.2399033710782466,0.28,False,-3.3635858385772535,0.0,True,-1.6095565096761333,0.08,False,-0.7265951359304851,0.52,False,-0.48173600659190063,0.68,False,-0.291343088562331,0.74,False
LL5,2766,18.833695216428218,3.8369499164103704,0.8580246913580246,2766,5,-0.6715440287510595,0.72,False,-14.26441291208587,0.0,True,-15.10329442196232,0.0,True,-0.8732544473043596,0.42,False,-4.77906472808749,0.0,True,-0.3313340520428966,0.64,False,-0.46722209038212426,0.9,False,-4.059966199804449,0.0,True,-1.207484578654155,0.14,False,-0.6320607298754459,0.72,False,-5.181655364406838,0.0,True,-0.4004385234677561,0.64,False,-0.37615253929776954,0.88,False,-0.7457829954133031,0.42,False,-0.23446678039764307,0.84,False
L~6,94,3.2546495936479025,2.6887610674019813,0.8113725490196079,94,4,-1.182940524264039,0.2,False,-3.047043185676576,0.0,True,-3.746607444017563,0.0,True,-1.1620510531198815,0.24,False,-2.010069064552798,0.02,True,-0.48102813948824064,0.54,False,-0.4788898779176946,0.86,False,-1.1290235928729135,0.14,False,-0.48411369762956963,0.54,False,-1.0287261076554688,0.32,False,-1.5908031618222085,0.06,False,-0.33121217637052774,0.64,False,-1.1620510531198813,0.24,False,-2.010069064552799,0.02,True,-0.48102813948824064,0.54,False
L4,1253,7.599804926352292,5.644365473376417,0.9526542324246773,1253,4,-1.4273248008798423,0.02,True,-2.123706970621561,0.0,True,1.8753289832842415,0.04,False,-1.423179957111601,0.06,False,-2.88134009262539,0.0,True,0.301547094791303,0.8,False,-1.2141715596101785,0.2,False,-1.9616436931261776,0.04,False,0.3838939892072647,0.78,False,-1.5006241852751332,0.06,False,-2.818741164805158,0.0,True,0.4366039780058572,0.66,False,-0.6144659897085872,0.62,False,-0.7353115673286194,0.48,False,0.17440841154844094,0.8,False
Howardite,240,4.598425679528773,3.829766951941642,0.8936156351791532,240,4,-1.2995770389096002,0.16,False,-3.511748435419602,0.0,True,-2.0016023648653287,0.08,False,-1.1451488437563753,0.22,False,-3.0487537242062754,0.0,True,0.164113267002423,0.84,False,-1.0317999355933434,0.3,False,-2.861750382076157,0.0,True,0.060101014734781785,0.92,False,-1.063376808569023,0.2,False,-3.3726822664082476,0.0,True,0.09527397317917294,0.98,False,-0.797146069809348,0.52,False,-1.6244129350702663,0.04,False,-0.4451463597048642,0.5,False
LL4,268,6.444916836642406,4.274087918601488,0.915407330206705,268,3,-0.872551076817861,0.46,False,-3.2411860468720555,0.0,True,-1.1594567412162105,0.26,False,-0.5935328552602707,0.76,False,-2.278710257594809,0.02,True,-0.8030820657332955,0.32,False,-0.3681493142235101,0.88,False,-1.524362860759813,0.08,False,-0.8867079421452916,0.46,False,-0.6053411733809866,0.76,False,-2.1090796484456176,0.02,True,-0.6653739855007718,0.46,False,-0.36399584774413235,0.88,False,-1.090078942916076,0.22,False,-0.16090282242806447,0.68,False
CR2,135,3.3204609575209005,3.4668562186711065,0.8334246575342467,135,3,-1.5454172284335295,0.02,True,-3.4718167449047406,0.0,True,-3.676831214159606,0.02,True,-1.558429938308803,0.08,False,-0.7251928065468902,0.5,False,1.3611822836587366,0.24,False,-1.1456997138848484,0.24,False,-0.2995198268501682,0.92,False,1.411261728301258,0.24,False,-1.602546412519176,0.1,False,-0.6714130212076385,0.46,False,1.3249836032007376,0.26,False,-1.2738553622929238,0.26,False,-0.5835870292623584,0.66,False,0.2777009732362652,0.72,False
EH3,120,2.516950047847274,4.632709600420566,0.9485148514851485,120,3,-1.8308839449617877,0.0,True,-1.7700764565390628,0.06,True,0.7561311197988787,0.42,False,-1.6182292978843247,0.0,True,-1.3186162244788315,0.16,False,0.24232278817640743,0.96,False,-1.339406689811191,0.04,False,-1.0659700023649255,0.3,False,0.47372050004854943,0.7,False,-1.5642329816064566,0.08,False,-1.3085876841369135,0.14,False,0.550065433174097,0.64,False,-1.702430032908452,0.08,False,-1.262555291517204,0.14,False,0.4698856987804098,0.76,False
Eucrite-br,80,2.3726044112342306,2.695900195962344,0.7181352459016395,80,3,-1.6235145051482338,0.0,True,-3.3898619823610217,0.0,True,-5.346115629805052,0.0,True,-1.5337294845766423,0.08,False,-0.890713195178471,0.3,False,-0.14349711315558683,0.94,False,-1.2430084735291966,0.16,False,-0.9133755728734441,0.36,False,-0.25703706394738485,0.88,False,-1.4894882586354905,0.12,False,-1.004170090321463,0.22,False,-0.3187460503951999,0.8,False,-1.533729484576642,0.08,False,-0.890713195178471,0.3,False,-0.14349711315557992,0.94,False
L5,4794,18.43311788713346,5.978988681301078,0.9556038497361068,4794,3,-1.5161250839891995,0.2,False,-2.5192586209531442,0.0,True,4.669132645484011,0.0,False,-1.323232753206089,0.32,False,-2.74858671033879,0.0,True,3.5962189723966924,0.0,False,-1.0074599015771335,0.46,False,-0.6473193917758174,0.48,False,2.500821094178056,0.04,False,-1.4326946904561484,0.2,False,-2.6104459531955957,0.0,True,3.5884327122871436,0.0,False,-0.15120176471047164,0.94,False,-0.20183103954138973,1.0,False,0.28203584536419696,0.8,False
CM2,414,13.510112585707349,3.171738891639307,0.8095238095238095,414,2,0.5999392137730419,0.46,False,-6.170115119558037,0.0,True,-9.548439873654948,0.0,True,0.6782176339458923,0.48,False,-1.3715494774630461,0.16,False,0.34453373653240843,0.68,False,0.27073184033146125,0.74,False,-1.766334427266132,0.06,False,0.3229875244454016,0.62,False,0.42671592539780945,0.5,False,-1.6814266731279284,0.06,False,0.41890599826737746,0.62,False,-0.39712375129561256,0.8,False,-0.6119175242806868,0.66,False,0.4357056873767232,0.66,False
H3.7,75,6.459230913893715,3.3367275424187492,0.7766262607569169,75,2,0.7638176219477986,0.56,False,-2.55204247453979,0.0,True,-4.622080709100514,0.0,True,0.8002691520353861,0.44,False,-0.11328696697522198,0.98,False,0.11847470539251412,0.88,False,0.5941459144702912,0.62,False,-0.5049429782917764,0.68,False,0.012917757393210012,0.98,False,0.7386816015754005,0.42,False,0.05306062720989442,0.94,False,-0.07320829623405549,0.96,False,0.8002691520353855,0.44,False,-0.11328696697522263,0.98,False,0.11847470539252074,0.88,False
L3,365,14.118958023856754,4.288703804156882,0.9203160270880361,365,2,1.1332595128289285,0.3,False,-4.088312112762303,0.0,True,-0.825612725328328,0.38,False,1.1720970030751505,0.26,False,-1.559800551191166,0.04,True,0.6167417014113672,0.6,False,1.6290483264614013,0.2,False,-0.1979722840683089,0.86,False,0.8237207864656343,0.34,False,1.1363241921173237,0.36,False,-1.1440828644672396,0.24,False,0.6565975510419643,0.54,False,0.05274848143913646,0.9,False,-0.7059537184936608,0.42,False,0.361157519445339,0.72,False
L6 ,54,2.5828607091925493,3.0150722586978627,0.7990074441687345,54,2,-1.2805249633774347,0.16,False,-2.275756643500659,0.0,True,-2.861056522736916,0.02,True,-0.3657212127193154,0.9,False,0.2310167114844108,0.78,False,0.27106306538981495,0.9,False,-0.5390786254073289,0.78,False,-0.17223701947350825,0.96,False,-0.23118306218643092,0.84,False,-0.397437432363196,0.7,False,-0.007878360462680919,0.92,False,-0.12644496803770014,0.88,False,-0.3657212127193167,0.9,False,0.2310167114844108,0.78,False,0.27106306538981495,0.9,False
Lunar (anorth),69,1.7028127167834535,2.575244116457719,0.891008174386921,69,2,-2.050917162253951,0.0,True,-3.39902344241744,0.0,True,-1.1432985973748715,0.26,False,-1.336169797628551,0.06,False,-1.0603907199490294,0.22,False,1.6935303684084262,0.02,False,-1.036331391332028,0.12,False,-0.901163863008784,0.3,False,1.6952900281064707,0.0,False,-1.502588106672465,0.04,False,-1.0222976175997474,0.2,False,1.8827847764673133,0.02,False,-1.336169797628551,0.06,False,-1.0603907199490294,0.22,False,1.6935303684084235,0.02,False
L3.4,51,2.084682200517096,4.756138282722311,0.8380952380952381,51,2,-1.5774286364925056,0.04,False,-0.9505096926205657,0.24,False,-1.8222798045317448,0.12,False,-1.7472114179111178,0.0,True,-1.2656925262698677,0.1,False,-0.8481955590198368,0.34,False,-1.693647872072489,0.04,False,-1.345095211107651,0.08,False,-0.942506157941738,0.28,False,-1.8099887744743723,0.02,False,-1.380082328911793,0.1,False,-1.2003019482625932,0.14,False,-1.7472114179111178,0.0,True,-1.2656925262698677,0.1,False,-0.84819555901984,0.34,False
LL-melt breccia,54,2.6619768878503893,1.6720620762845302,0.4685897435897436,54,2,-1.3004922614342953,0.08,False,-3.848429519746073,0.0,True,-11.84643069793058,0.0,True,0.9953284531686523,0.4,False,1.0523939369763313,0.36,False,-0.7055972809780622,0.54,False,0.8394500279790108,0.52,False,1.061095238354392,0.28,False,-0.7297524718799147,0.44,False,0.7717880888847568,0.52,False,0.8764844529117785,0.32,False,-0.8906234663011303,0.36,False,0.995328453168654,0.4,False,1.0523939369763293,0.36,False,-0.7055972809780622,0.54,False
