recclass,count,unique_names,shannon_obs,shannon_null_mean,shannon_null_std,shannon_effect,shannon_zscore,shannon_pvalue,simpson_obs,simpson_null_mean,simpson_null_std,simpson_effect,simpson_zscore,simpson_pvalue,shannon_fdr_q,simpson_fdr_q
CO3.6,7,7,1.9459101490553132,1.9459101490553128,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.8571428571428572,0.8571428571428574,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,1.0,1.0
CO3.7,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CO3.8,3,3,1.0986122886681096,1.0986122886681091,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
CR,8,8,2.0794415416798357,2.0794415416798357,0.0,0.0,0.0,1.0,0.875,0.875,0.0,0.0,0.0,1.0,1.0,1.0
CR-an,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CR1,2,2,0.6931471805599453,0.6931471805599454,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
CR2,135,135,4.90527477843843,4.905274778438429,8.881784197001252e-16,8.881784197001252e-16,1.0,1.0,0.9925925925925926,0.9925925925925924,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,1.0,1.0
CR2-an,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CR7,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CV2,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CV3,256,256,5.545177444479562,5.545177444479563,8.881784197001252e-16,-8.881784197001252e-16,-1.0,1.0,0.99609375,0.99609375,0.0,0.0,0.0,1.0,1.0,1.0
CV3-an,4,4,1.3862943611198906,1.3862943611198908,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
Chondrite-fusion crust,4,4,1.3862943611198906,1.3862943611198908,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
Chondrite-ung,15,15,2.70805020110221,2.70805020110221,0.0,0.0,0.0,1.0,0.9333333333333333,0.9333333333333335,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
Diogenite,241,241,5.484796933490655,5.484796933490656,8.881784197001252e-16,-8.881784197001252e-16,-1.0,1.0,0.995850622406639,0.995850622406639,0.0,0.0,0.0,1.0,1.0,1.0
Diogenite-an,3,3,1.0986122886681096,1.0986122886681091,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
Diogenite-olivine,9,9,2.1972245773362196,2.197224577336219,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.8888888888888888,0.8888888888888892,3.3306690738754696e-16,-3.3306690738754696e-16,-1.0,1.0,1.0,1.0
Diogenite-pm,11,11,2.3978952727983707,2.3978952727983716,8.881784197001252e-16,-8.881784197001252e-16,-1.0,1.0,0.9090909090909091,0.9090909090909087,3.3306690738754696e-16,3.3306690738754696e-16,1.0,1.0,1.0,1.0
E,7,7,1.9459101490553132,1.9459101490553128,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.8571428571428572,0.8571428571428574,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,1.0,1.0
E-an,5,5,1.6094379124341005,1.6094379124340998,6.661338147750939e-16,6.661338147750939e-16,1.0,1.0,0.7999999999999999,0.8,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
E3,206,206,5.32787616878958,5.32787616878958,0.0,0.0,0.0,1.0,0.9951456310679612,0.9951456310679613,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
E3-an,6,6,1.791759469228055,1.7917594692280547,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0
E4,4,4,1.3862943611198906,1.3862943611198908,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
E5,5,5,1.6094379124341005,1.6094379124340998,6.661338147750939e-16,6.661338147750939e-16,1.0,1.0,0.7999999999999999,0.8,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
E5-an,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
