recclass,count,mass_mean,mass_median,cv_obs,cv_null_mean,cv_null_std,cv_effect,cv_zscore,cv_pvalue,log_range_obs,log_range_null_mean,log_range_null_std,log_range_effect,log_range_zscore,log_range_pvalue,cv_fdr_q,log_range_fdr_q
EH3,120,293.8635833333334,50.5,2.5064408159440767,6.45409928298441,2.2960392420166045,-3.9476584670403336,-1.719334057885316,0.008,4.487138375477186,5.72641486293468,0.8506082150287951,-1.2392764874574942,-1.4569298362766714,0.064,0.13538461538461538,0.24275862068965517
EH4,18,7701.782222222221,23.575,3.2283947263164774,2.77047432291747,0.8480408144140684,0.4579204033990072,0.539974486623495,0.652,4.798934856306936,4.056761155950911,0.9549633314715059,0.7421737003560249,0.7771750766727422,0.388,0.915813953488372,0.6566153846153846
EH4/5,9,39.28888888888889,26.0,0.9005445911479171,1.9101753188347534,0.5561231137996924,-1.0096307276868364,-1.8154806060632305,0.032,1.5495481736178562,3.2357969560355904,0.9735700270148004,-1.6862487824177341,-1.7320261877701575,0.012,0.273103448275862,0.09428571428571429
EH5,6,4654.038333333334,58.315,1.4033296105956679,1.5578231967969816,0.4548567460615906,-0.1544935862013137,-0.33965328103629855,0.8,3.276896315947262,2.7822174688201793,1.0174033368446027,0.49467884712708265,0.4862170480601043,0.588,0.9312169312169312,0.8089440993788819
EH6,5,92.94659999999999,36.923,1.196006743630524,1.3995082468514337,0.41866414153340337,-0.20350150322090976,-0.4860734011648649,0.676,2.5228787452803374,2.491586100023251,0.9901282550890813,0.03129264525708653,0.03160463818323329,0.872,0.915813953488372,0.9738071065989848
EL3,19,135.74947368421053,20.6,2.828526089583445,2.7653342476460168,0.8945600682659127,0.06319184193742844,0.07064013270782878,0.9,3.1287471217455365,4.045186026309966,0.9509719913886719,-0.9164389045644294,-0.9636865363681059,0.324,0.9473684210526315,0.6063865546218488
EL4,13,234.97615384615386,22.4,1.8474950104008434,2.2831975982422215,0.6982947436674147,-0.43570258784137805,-0.623952266278114,0.648,3.264187954179907,3.625787336572619,0.9547865305458413,-0.36159938239271217,-0.3787227519705265,0.748,0.915813953488372,0.9191111111111111
EL5,6,593.9833333333333,166.95,1.67101792993395,1.5295392080463592,0.4510879194759405,0.1414787218875908,0.3136389066946334,0.8,2.0,2.7081417724875636,0.9070856972357322,-0.7081417724875636,-0.7806779168115718,0.428,0.9312169312169312,0.6872992700729926
EL6,72,1993.5326944444444,142.55,2.940451031975538,5.099798535486876,1.6785072312424703,-2.159347503511338,-1.286468990611937,0.172,5.0,5.291830317045115,0.8742898859358619,-0.29183031704511464,-0.3337912536100451,0.784,0.5823529411764706,0.9355789473684212
Eucrite,221,436.19876470588235,132.0,2.878935789292414,8.274070581820167,3.1519772383478024,-5.395134792527753,-1.7116667997754214,0.0,4.814363423038088,6.191329976863017,0.8358027840072502,-1.3769665538249285,-1.647477826315764,0.024,0.0,0.15529411764705883
Eucrite-br,80,179.689,48.8,2.3577290018268697,5.260580666965623,1.7326598657425312,-2.9028516651387535,-1.6753730622684775,0.024,3.6757783416740852,5.331759242422575,0.8170602756217457,-1.65598090074849,-2.02675487985065,0.004,0.264,0.04888888888888889
Eucrite-cm,26,2063.8076923076924,212.905,2.214267659925621,3.256711010548069,1.0171836356465942,-1.0424433506224484,-1.0248329938573946,0.34,3.3098997709392233,4.368481232623701,0.911986711786571,-1.0585814616844775,-1.1607421994238591,0.216,0.7555555555555556,0.5221978021978022
Eucrite-mmict,108,5963.286018518519,165.775,5.578635858733939,5.879015528947933,2.0035230415015675,-0.30037967021399403,-0.1499257378087703,0.968,5.615423952885944,5.5519387729540295,0.774094893882275,0.06348517993191471,0.08201214144886168,0.804,0.9879999999999999,0.9355789473684212
Eucrite-pmict,207,481.8213043478261,140.0,2.6215435595471335,7.786864624200591,2.9461033711114992,-5.165321064653458,-1.7532721747997246,0.0,4.410608542568368,6.091330000671365,0.779934629190765,-1.6807214581029974,-2.1549517038971073,0.008,0.0,0.0704
Eucrite-unbr,32,89.05875,23.384999999999998,2.221991476007966,3.4546644146784287,1.0844634112148925,-1.2326729386704627,-1.1366662313572529,0.256,2.534611803355834,4.513897501386533,0.8604077932473173,-1.9792856980306994,-2.300404196201614,0.004,0.6574712643678161,0.04888888888888889
H,82,3537.4928414634146,98.575,6.227132428354912,5.336682197185242,1.7504489865786046,0.8904502311696696,0.5086981900055981,0.616,6.3979400086720375,5.362073038827312,0.822426600583859,1.0358669698447258,1.2595251285760223,0.224,0.915813953488372,0.5242553191489362
H-imp melt,11,11.859999999999998,3.2,1.1868366494483593,2.1154050087828127,0.6440388578420866,-0.9285683593344534,-1.4417893393043237,0.144,1.5826314394896364,3.387543809493249,0.8863660256648537,-1.8049123700036125,-2.036305902688189,0.0,0.5657142857142856,0.0
H-melt rock,8,121.8375,18.05,1.6861405857977592,1.7679245381935786,0.5377345270002798,-0.08178395239581948,-0.1520898292546815,0.972,1.9479935601623233,3.050658804872478,0.9641948694081195,-1.1026652447101546,-1.1436124373769345,0.192,0.9879999999999999,0.48551724137931035
H-metal,6,10.67,2.19,1.7511586558016978,1.5259727170293436,0.4708556094248115,0.22518593877235427,0.47824839348826537,0.708,1.9403504384836305,2.6922227927381863,1.0148903792821407,-0.7518723542545558,-0.7408409514989938,0.484,0.915813953488372,0.7446153846153846
H/L3,6,150.53333333333333,105.75,0.7578638099299849,1.5328725608918699,0.45981817361427596,-0.7750087509618849,-1.6854678554136715,0.076,1.2527253160894263,2.6514817347655186,0.9397249419143021,-1.3987564186760924,-1.4884742931550832,0.08,0.38883720930232557,0.2838709677419355
H/L4,13,1456.9884615384615,87.0,2.793823424975059,2.2310117140155445,0.6979166395251598,0.5628117109595143,0.8064168112432932,0.516,3.5063845674187792,3.5306318757763258,0.9362706135902857,-0.024247308357546515,-0.025897756487909162,0.984,0.88,0.9930275229357798
H/L5,7,289.5757142857143,217.44,0.9376744369668887,1.6791902568441863,0.5006361346035652,-0.7415158198772976,-1.481147221753132,0.116,2.355151049709458,2.9730172197083475,1.063955616566798,-0.6178661699988894,-0.5807255118335081,0.564,0.5147169811320755,0.8075949367088607
H/L6,11,86.2209090909091,88.1,0.8262886865564208,2.0819499775477883,0.6414515617036523,-1.2556612909913674,-1.9575309594015413,0.0,1.7433620945475239,3.399934558819722,0.9267971647757902,-1.6565724642721982,-1.7874164134640556,0.008,0.0,0.0704
H3,386,796.078378238342,20.82,9.197091951938791,10.200027658705814,4.08428604702602,-1.0029357067670226,-0.2455596143902095,0.98,5.669006780958576,6.572157300688931,0.7567715625421467,-0.9031505197303558,-1.193425551954533,0.168,0.9879999999999999,0.44
H3-4,10,9010.016,345.5,2.8493183187772426,2.0141702806963724,0.616782243569736,0.8351480380808702,1.3540403388516888,0.232,4.758407192187886,3.3772076697720137,0.9436729565368505,1.3811995224158724,1.4636421578559209,0.168,0.633170731707317,0.44
H3-5,39,1565.5741025641023,210.0,2.373014708006444,3.879865138144369,1.178871235522734,-1.5068504301379249,-1.2782146045575187,0.2,4.385350881364017,4.732979872115962,0.8609203411122067,-0.34762899075194476,-0.40378763766093556,0.732,0.6197183098591549,0.9096629213483145
H3-6,43,6941.4783720930245,65.0,4.054395112447689,4.020292386376917,1.3523164756627477,0.03410272607077225,0.025218006793904565,0.896,6.01258912730802,4.790468690447246,0.8891490052476875,1.2221204368607745,1.3744832751855043,0.16,0.9473684210526315,0.43456790123456795
H3.3,7,414.2142857142857,33.8,2.2854811453701473,1.665086023275358,0.5081556418606522,0.6203951220947894,1.220876186325834,0.332,2.237982544738238,2.8675552866624563,0.9483765833870433,-0.6295727419242181,-0.6638425631258783,0.56,0.7529896907216496,0.8075949367088607
H3.4,16,652.2410625000001,177.2935,1.9457566594356794,2.490522947044734,0.812488477636523,-0.5447662876090547,-0.670491093232171,0.644,3.5118833609788744,3.782026747563195,0.9950223105136466,-0.2701433865843206,-0.27149480341286836,0.908,0.915813953488372,0.9873170731707317
H3.5,18,838.1905555555554,76.57499999999999,2.460640409642023,2.670771578745029,0.8527483996872005,-0.2101311691030059,-0.2464163746071934,0.848,3.3881801713828814,3.9209205819332213,0.950068060182608,-0.5327404105503399,-0.5607392068816043,0.592,0.9440776699029125,0.8089440993788819
H3.6,42,7203.912714285713,63.715,5.984975265852867,3.969199152778334,1.2826128663731318,2.015776113074533,1.5716169437583927,0.168,5.752816431188271,4.7452095801228715,0.8141948494501217,1.0076068510653995,1.237550018580812,0.2,0.5823529411764706,0.5
H3.7,75,3635.4982666666674,108.07,6.416024871030367,5.083930302781697,1.6610380518225485,1.33209456824867,0.8019651125915205,0.472,4.431798275933005,5.227466123016706,0.8016275156787476,-0.7956678470837009,-0.9925655388837288,0.276,0.844516129032258,0.5728301886792453
H3.8,76,1473.9910526315791,129.85,3.7412853080057493,5.1782969541727315,1.699565445233166,-1.4370116461669822,-0.8455170997959636,0.476,4.847032539791456,5.330333589098813,0.849577864300905,-0.4833010493073564,-0.568871988802406,0.596,0.844516129032258,0.8093827160493827
H3.9,43,836.2806976744185,182.0,2.760800114624673,4.022328790013345,1.2576936789507158,-1.2615286753886723,-1.0030492293172342,0.372,3.0755469613925306,4.820469885861461,0.8399619443393167,-1.7449229244689302,-2.0773833103134485,0.012,0.7730841121495327,0.09428571428571429
H3.9/4,5,5587.546,252.0,1.916374507794792,1.3673249141027615,0.4281232004411424,0.5490495936920305,1.2824569963185466,0.26,3.4432509238906355,2.426073078766723,0.9963762877469697,1.0171778451239124,1.020877210380006,0.288,0.6574712643678161,0.5893577981651376
H3/4,35,514.5274571428571,25.091,3.8042107466480655,3.7815302498569907,1.204347076368911,0.022680496791074756,0.018832193174293348,0.948,5.071882007306125,4.665292165012061,0.9019764703301436,0.40658984229406414,0.45077655090630375,0.548,0.9786915887850467,0.8075949367088607
H4,4211,997.4195499881263,18.5,9.880252803845785,31.706776973313044,10.010699818625664,-21.82652416946726,-2.180319514611492,0.0,6.443697499232713,8.531906079485553,0.5576404206530684,-2.0882085802528403,-3.7447224105585466,0.0,0.0,0.0
H4 ,11,8.660000000000002,3.38,1.6838638947533973,2.0703006396464643,0.6555911887401842,-0.386436744893067,-0.5894477404976455,0.712,2.019564247662552,3.3600452807059273,0.9893257445679734,-1.3404810330433752,-1.3549440519499945,0.12,0.915813953488372,0.3616438356164383
H4-5,47,747.896744680851,301.2,1.619198370051983,4.18939399212333,1.3129054722433562,-2.5701956220713473,-1.957639507496046,0.008,3.280005697149046,4.885546154451062,0.8362208954802587,-1.6055404573020162,-1.9199956207503301,0.02,0.13538461538461538,0.14666666666666667
H4-6,67,1615.7073134328357,127.2,3.591745806578145,4.826533274120686,1.6405209307606208,-1.2347874675425405,-0.7526801056845014,0.536,4.408122194866916,5.172198614342571,0.8695206339635118,-0.7640764194756553,-0.8787329358623578,0.372,0.9001526717557252,0.6566153846153846
H4-an,10,312.90099999999995,207.805,1.3355826473773493,1.960418937161283,0.6018616223743082,-0.6248362897839337,-1.0381726738431865,0.316,2.2478289105413305,3.2776095128750495,0.9900638026700992,-1.029780602333719,-1.040115394135719,0.276,0.74752688172043,0.5728301886792453
H4/5,428,1601.5579088785048,10.690000000000001,8.54672180726932,10.864681406497995,4.38998372654168,-2.3179595992286757,-0.5280109776294561,0.768,5.755027451536506,6.689083656750825,0.7914651226784455,-0.9340562052143193,-1.1801609173292724,0.16,0.9232786885245902,0.43456790123456795
H4/6,6,1493.0166666666664,1253.15,0.899761261209181,1.5372488527521817,0.46210609701738253,-0.6374875915430007,-1.3795264673147583,0.18,1.8199059984906447,2.713735592324323,0.9869845028451469,-0.8938295938336784,-0.9056166446961083,0.348,0.5823529411764706,0.6379999999999999
H5,7138,2166.091410198935,24.8,23.620075594912194,36.403338372883326,9.087198669974729,-12.783262777971132,-1.4067330584736386,0.216,8.602059991327963,8.848538503876597,0.476140584843348,-0.2464785125486344,-0.5176591124441257,0.572,0.633170731707317,0.8075949367088607
H5 ,22,831.5059090909091,2.1100000000000003,4.505833644653488,2.9018256800682147,0.9068033647312846,1.6040079645852732,1.7688597406788327,0.076,4.315753252484687,4.109911759370363,0.8863196917802358,0.20584149311432398,0.23224294238671012,0.72,0.38883720930232557,0.9096629213483145
H5-6,63,2883.4873015873018,113.0,6.539076341006044,4.859979629896005,1.619285421002861,1.6790967111100397,1.0369368422215128,0.408,4.85675765255925,5.176876151377168,0.8388157748971612,-0.32011849881791754,-0.38163147188924057,0.736,0.816,0.9096629213483145
H5/6,193,837.3940414507772,164.0,3.155360618674839,7.670336565379308,2.747614597236327,-4.514975946704469,-1.6432348085666137,0.016,5.20194306340165,6.049619283666047,0.7698946082200118,-0.8476762202643968,-1.101028908650517,0.188,0.22,0.48093023255813955
H6,4527,862.3669882924675,18.96,9.87308096605727,32.28995192759873,10.321958528257184,-22.41687096154146,-2.1717652614252896,0.004,6.770852011642144,8.565079324055846,0.5866455533692416,-1.7942273124137023,-3.058452079128595,0.0,0.088,0.0
H7,12,228.4666666666667,75.815,1.5544516106534567,2.1719014908333127,0.6705123671082979,-0.617449880179856,-0.9208627766892904,0.432,2.977019724288895,3.467366777926716,0.9609035847256031,-0.49034705363782116,-0.5102978711208006,0.692,0.8410619469026548,0.8902923976608186
Howardite,240,652.054125,76.75,4.588835625963014,8.778751520338995,3.335305811277132,-4.18991589437598,-1.25623140169315,0.14,5.0,6.300067227251531,0.8282510135562987,-1.3000672272515308,-1.5696536508532282,0.032,0.56,0.17170731707317075
H~4,18,592.6888888888889,281.25,1.4264587123088108,2.657088702098399,0.802293795479732,-1.230629989789588,-1.5338894513745207,0.12,3.149112480625895,3.927810020593197,0.9353391243651931,-0.7786975399673017,-0.8325296351692733,0.4,0.5147169811320755,0.6616541353383458
H~5,111,820.3205405405407,61.7,5.18852516572821,6.324820411429073,2.1886549424905017,-1.1362952457008628,-0.5191751443504641,0.74,5.309731531525298,5.6853927908502335,0.8424686686331736,-0.37566125932493577,-0.4459053176831026,0.736,0.9232786885245902,0.9096629213483145
H~6,22,791.4463636363636,104.515,2.2140422285127905,2.9628935395055014,0.9555822872575943,-0.7488513109927109,-0.7836596816186533,0.556,2.910477920614156,4.1636226999514045,0.9066171146127535,-1.2531447793372483,-1.382220519709148,0.108,0.915813953488372,0.3346478873239436
Iron,76,32316.30578947368,436.0,4.133489712768503,5.209478628009203,1.7664141094607908,-1.0759889152406998,-0.6091374097827787,0.66,6.220543907928012,5.3118078882554745,0.8661523366842685,0.9087360196725376,1.049164195701745,0.216,0.915813953488372,0.5221978021978022
"Iron, IAB complex",51,180809.19784313726,2715.0,2.979932975437118,4.3222897273812375,1.3658622904773967,-1.3423567519441195,-0.9827906966191581,0.364,5.301029995663981,4.9566717556291735,0.8095042755700074,0.34435824003480775,0.42539397311067945,0.644,0.7730841121495327,0.8639024390243902
"Iron, IAB-MG",83,1301547.2313253013,12880.0,4.948233080163683,5.411965532421222,1.7316275246341282,-0.46373245225753923,-0.26780150214782494,0.896,5.785156151952302,5.397664653016729,0.8752108227742091,0.38749149893557266,0.442740753259103,0.532,0.9473684210526315,0.8016438356164384
