recclass,count,mean_mass,cv_obs,cv_null_mean,cv_null_std,cv_effect,cv_zscore,cv_pvalue,cv_fdr_q
"Iron, IIE",14,42413.0,1.73088023400597,2.1468764036905483,0.7000774738536678,-0.4159961696845784,-0.5942144765702476,0.636,0.8745
L/LL5,16,39847.48125,3.0865100635154694,2.3734539054724095,0.7818023698384055,0.7130561580430599,0.9120670204548561,0.456,0.8598473282442748
H3.7,75,3635.4982666666674,6.416024871030367,5.065523847169394,1.7571290520838025,1.3505010238609731,0.768583856865491,0.5,0.8598473282442748
CBa,5,44043.2,1.2112212562259002,1.333128455866971,0.3901859514127958,-0.12190719964107077,-0.31243359531440307,0.928,0.9667605633802817
H4/5,428,1601.5579088785048,8.54672180726932,10.962045411145205,4.2301338684314755,-2.415323603875885,-0.5709804178777638,0.724,0.9093333333333333
H3/4,35,514.5274571428571,3.8042107466480655,3.340523882448686,1.2238837417743051,0.46368686419937966,0.3788651228646581,0.716,0.9093333333333333
H3-6,43,6941.4783720930245,4.054395112447689,3.9464350605349265,1.2639987006438338,0.10796005191276237,0.08541152127590917,0.848,0.9412935323383084
L3.4,51,273.99509803921575,2.064142958729209,4.434943845490982,1.3329504451370773,-2.370800886761773,-1.7786114220607547,0.0,0.0
"Iron, IAB-sHL",17,9438.261176470589,3.1444321781047804,2.295740579395305,0.8294821791076677,0.8486915987094754,1.0231583270691513,0.388,0.8451485148514851
Iron,76,32316.30578947368,4.133489712768503,4.831431681080412,1.8517172158866142,-0.697941968311909,-0.37691606597594324,0.92,0.9667605633802817
CR2,135,226.89688888888887,3.3081400951529005,6.844009660600752,2.4418437266290156,-3.535869565447851,-1.448032700409189,0.116,0.613953488372093
CO3.2,8,25598.88875,2.5751369739864756,1.7451187506353503,0.5061765468281487,0.8300182233511253,1.6397800896787176,0.108,0.613953488372093
L5/6,109,2302.949357798165,6.2608012825581785,5.709161556791485,2.1356414235745844,0.5516397257666936,0.25830166041796127,0.72,0.9093333333333333
CK4,75,1276.9617999999998,4.548568879537028,5.183463689740492,1.648054259961083,-0.6348948102034644,-0.38523902132837345,0.816,0.9412935323383084
