recclass,count,shannon_entropy,simpson_index
Diogenite-olivine,9,2.1972245773362196,0.8888888888888888
Diogenite-pm,11,2.3978952727983707,0.9090909090909091
E,7,1.9459101490553132,0.8571428571428572
E-an,5,1.6094379124341005,0.7999999999999999
E3,206,5.32787616878958,0.9951456310679612
E3-an,6,1.791759469228055,0.8333333333333334
E4,4,1.3862943611198906,0.75
E5,5,1.6094379124341005,0.7999999999999999
E5-an,1,-0.0,0.0
E6,9,2.1972245773362196,0.8888888888888888
EH,2,0.6931471805599453,0.5
EH-imp melt,6,1.791759469228055,0.8333333333333334
EH3,120,4.787491742782046,0.9916666666666667
EH3/4-an,1,-0.0,0.0
EH4,18,2.8903717578961645,0.9444444444444444
EH4/5,9,2.1972245773362196,0.8888888888888888
EH5,6,1.791759469228055,0.8333333333333334
EH6,5,1.6094379124341005,0.7999999999999999
EH6-an,1,-0.0,0.0
EH7,1,-0.0,0.0
EH7-an,1,-0.0,0.0
EL-melt rock,2,0.6931471805599453,0.5
EL3,19,2.9444389791664407,0.9473684210526316
EL3/4,1,-0.0,0.0
EL4,13,2.564949357461537,0.9230769230769231
EL4/5,1,-0.0,0.0
EL5,6,1.791759469228055,0.8333333333333334
EL6,72,4.276666119016055,0.9861111111111112
EL6 ,1,-0.0,0.0
EL6/7,2,0.6931471805599453,0.5
EL7,1,-0.0,0.0
Enst achon,3,1.0986122886681096,0.6666666666666667
Enst achon-ung,3,1.0986122886681096,0.6666666666666667
Eucrite,221,5.398162701517753,0.995475113122172
Eucrite-Mg rich,4,1.3862943611198906,0.75
Eucrite-an,3,1.0986122886681096,0.6666666666666667
Eucrite-br,80,4.382026634673881,0.9875
Eucrite-cm,26,3.2580965380214826,0.9615384615384616
Eucrite-mmict,108,4.682131227124219,0.9907407407407407
Eucrite-pmict,207,5.332718793265369,0.9951690821256038
Eucrite-unbr,32,3.4657359027997265,0.96875
Fusion crust,4,1.3862943611198906,0.75
H,84,4.430816798843313,0.9880952380952381
H(5?),2,0.6931471805599453,0.5
H(?)4,1,-0.0,0.0
H(L)3,2,0.6931471805599453,0.5
H(L)3-an,1,-0.0,0.0
H-an,4,1.3862943611198906,0.75
H-imp melt,11,2.3978952727983707,0.9090909090909091
H-melt breccia,4,1.3862943611198906,0.75
H-melt rock,8,2.0794415416798357,0.875
H-metal,6,1.791759469228055,0.8333333333333334
H/L3,6,1.791759469228055,0.8333333333333334
H/L3-4,1,-0.0,0.0
H/L3.5,1,-0.0,0.0
H/L3.6,1,-0.0,0.0
H/L3.7,1,-0.0,0.0
H/L3.9,1,-0.0,0.0
H/L4,13,2.564949357461537,0.9230769230769231
H/L4-5,1,-0.0,0.0
H/L4/5,1,-0.0,0.0
H/L5,7,1.9459101490553132,0.8571428571428572
H/L6,11,2.3978952727983707,0.9090909090909091
H/L6-melt rock,1,-0.0,0.0
H/L~4,1,-0.0,0.0
H3,386,5.955837369464831,0.9974093264248705
H3 ,1,-0.0,0.0
H3-4,10,2.3025850929940455,0.9
H3-5,39,3.663561646129646,0.9743589743589743
H3-6,43,3.761200115693562,0.9767441860465116
H3-an,1,-0.0,0.0
H3.0,3,1.0986122886681096,0.6666666666666667
H3.0-3.4,1,-0.0,0.0
H3.05,2,0.6931471805599453,0.5
H3.1,2,0.6931471805599453,0.5
H3.10,2,0.6931471805599453,0.5
H3.15,1,-0.0,0.0
H3.2,2,0.6931471805599453,0.5
H3.2-3.7,1,-0.0,0.0
H3.2-6,1,-0.0,0.0
H3.2-an,3,1.0986122886681096,0.6666666666666667
H3.3,7,1.9459101490553132,0.8571428571428572
H3.4,16,2.772588722239781,0.9375
H3.4-5,1,-0.0,0.0
H3.4/3.5,1,-0.0,0.0
H3.5,18,2.8903717578961645,0.9444444444444444
H3.5-4,1,-0.0,0.0
H3.6,42,3.7376696182833684,0.9761904761904762
H3.6-6,2,0.6931471805599453,0.5
H3.7,75,4.31748811353631,0.9866666666666667
H3.7-5,2,0.6931471805599453,0.5
H3.7-6,1,-0.0,0.0
H3.7/3.8,1,-0.0,0.0
H3.8,76,4.330733340286331,0.9868421052631579
H3.8-4,1,-0.0,0.0
H3.8-5,1,-0.0,0.0
H3.8-6,2,0.6931471805599453,0.5
H3.8-an,2,0.6931471805599453,0.5
H3.8/3.9,1,-0.0,0.0
H3.8/4,2,0.6931471805599453,0.5
H3.9,43,3.761200115693562,0.9767441860465116
H3.9-5,2,0.6931471805599453,0.5
H3.9-6,4,1.3862943611198906,0.75
H3.9/4,5,1.6094379124341005,0.7999999999999999
H3/4,35,3.5553480614894135,0.9714285714285714
H4,4211,8.345455428161928,0.9997625267157445
H4 ,11,2.3978952727983707,0.9090909090909091
H4(?),1,-0.0,0.0
H4-5,47,3.8501476017100584,0.9787234042553191
H4-6,67,4.204692619390966,0.9850746268656716
H4-an,10,2.3025850929940455,0.9
H4-melt breccia,1,-0.0,0.0
H4/5,428,6.059123195581797,0.9976635514018691
H4/6,6,1.791759469228055,0.8333333333333334
H5,7142,8.873748128154393,0.9998599831979837
H5 ,22,3.091042453358316,0.9545454545454546
H5-6,63,4.143134726391533,0.9841269841269842
H5-7,1,-0.0,0.0
H5-an,2,0.6931471805599453,0.5
H5-melt breccia,4,1.3862943611198906,0.75
H5/6,193,5.262690188904886,0.9948186528497409
H6,4528,8.41803561988302,0.9997791519434629
H6 ,1,-0.0,0.0
H6-melt breccia,3,1.0986122886681096,0.6666666666666667
H6/7,2,0.6931471805599453,0.5
H7,12,2.4849066497880004,0.9166666666666666
H?,2,0.6931471805599453,0.5
Howardite,240,5.480638923341991,0.9958333333333333
Howardite-an,1,-0.0,0.0
H~4,18,2.8903717578961645,0.9444444444444444
H~4/5,3,1.0986122886681096,0.6666666666666667
H~5,111,4.709530201312334,0.990990990990991
H~6,22,3.091042453358316,0.9545454545454546
Impact melt breccia,1,-0.0,0.0
Iron,94,4.543294782270004,0.9893617021276596
"Iron, IAB complex",54,3.988984046564274,0.9814814814814815
"Iron, IAB-MG",84,4.430816798843313,0.9880952380952381
"Iron, IAB-an",3,1.0986122886681096,0.6666666666666667
"Iron, IAB-sHH",5,1.6094379124341005,0.7999999999999999
"Iron, IAB-sHL",17,2.833213344056216,0.9411764705882353
"Iron, IAB-sHL-an",1,-0.0,0.0
"Iron, IAB-sLH",9,2.1972245773362196,0.8888888888888888
"Iron, IAB-sLL",28,3.3322045101752034,0.9642857142857143
"Iron, IAB-sLM",10,2.3025850929940455,0.9
"Iron, IAB-ung",46,3.828641396489095,0.9782608695652174
"Iron, IAB?",4,1.3862943611198906,0.75
"Iron, IC",10,2.3025850929940455,0.9
"Iron, IC-an",2,0.6931471805599453,0.5
"Iron, IIAB",118,4.770684624465665,0.9915254237288136
"Iron, IIAB-an",1,-0.0,0.0
"Iron, IIC",8,2.0794415416798357,0.875
"Iron, IID",19,2.9444389791664407,0.9473684210526316
"Iron, IID-an",2,0.6931471805599453,0.5
"Iron, IIE",14,2.6390573296152584,0.9285714285714286
"Iron, IIE-an",7,1.9459101490553132,0.8571428571428572
"Iron, IIE?",1,-0.0,0.0
"Iron, IIF",6,1.791759469228055,0.8333333333333334
"Iron, IIG",6,1.791759469228055,0.8333333333333334
"Iron, IIIAB",285,5.652489180268651,0.9964912280701754
"Iron, IIIAB-an",3,1.0986122886681096,0.6666666666666667
"Iron, IIIAB?",4,1.3862943611198906,0.75
"Iron, IIIE",14,2.6390573296152584,0.9285714285714286
"Iron, IIIE-an",1,-0.0,0.0
"Iron, IIIF",9,2.1972245773362196,0.8888888888888888
"Iron, IVA",69,4.23410650459726,0.9855072463768116
"Iron, IVA-an",6,1.791759469228055,0.8333333333333334
"Iron, IVB",14,2.6390573296152584,0.9285714285714286
"Iron, ungrouped",113,4.727387818712341,0.9911504424778761
Iron?,2,0.6931471805599453,0.5
K,1,-0.0,0.0
K3,2,0.6931471805599453,0.5
L,50,3.912023005428146,0.98
L(?)3,2,0.6931471805599453,0.5
L(H)3,1,-0.0,0.0
L(LL)3,5,1.6094379124341005,0.7999999999999999
L(LL)3.05,2,0.6931471805599453,0.5
