recclass,count,obs_cv,obs_varlog,obs_mad_ratio,obs_n,total_survived,z_null2_cv,p_null2_cv,surv_null2_cv,z_null2_varlog,p_null2_varlog,surv_null2_varlog,z_null3_cv,p_null3_cv,surv_null3_cv,z_null3_varlog,p_null3_varlog,surv_null3_varlog,z_null4_cv,p_null4_cv,surv_null4_cv,z_null4_varlog,p_null4_varlog,surv_null4_varlog
Eucrite,221,2.8854714067596006,3.026014795913853,0.8636363636363636,221,3,-1.5388448135373514,0.0,True,-1.4634288347747357,0.04,True,-1.0695353650764923,0.24,False,-0.5068799827222045,0.72,False,-1.5962964215160165,0.0,True,-1.3967362113853787,0.08,False
Howardite,240,4.598425679528773,3.829766951941642,0.8936156351791532,240,3,-1.3605578174516368,0.04,False,-2.182516556704554,0.0,True,-0.852725847245143,0.28,False,-2.420724826140436,0.0,True,-1.1137429469509743,0.08,False,-2.672655393493926,0.0,True
E3,206,6.213960754341548,0.627596405830816,0.37106918238993714,206,3,1.1269327335946906,0.44,False,-1.8808823248588504,0.0,True,1.0679909197511122,0.36,False,-1.791783158755792,0.0,True,1.056479642445584,0.36,False,-2.027320105597071,0.04,True
LL5,2766,18.833695216428218,3.8369499164103704,0.8580246913580246,2766,3,-0.45044131514281555,0.96,False,-4.3843919882576285,0.0,True,-0.33867717933013514,0.92,False,-3.6571069498121,0.0,True,-0.828308219047086,0.68,False,-4.726466446630616,0.0,True
L5,4794,18.43311788713346,5.978988681301078,0.9556038497361068,4794,2,-1.5382044615494495,0.2,False,-2.8100521671753014,0.0,True,-1.091815027654191,0.24,False,-0.9302459056606425,0.36,False,-1.3621482367038988,0.28,False,-2.6923599003270624,0.0,True
L5/6,109,6.2897196871718934,4.017394905165002,0.9256,109,2,0.14768045345999023,0.8,False,-2.3178792503261647,0.0,True,0.6760746283240534,0.44,False,-0.9874921557001533,0.2,False,0.15748534488169744,0.72,False,-1.781651601954479,0.04,True
CM2,414,13.510112585707349,3.171738891639307,0.8095238095238095,414,1,0.33357003713692707,0.68,False,-1.11269645067832,0.2,False,0.018264236420125594,0.88,False,-1.9267815927923564,0.04,True,0.6582754299008848,0.44,False,-1.2393231184382962,0.2,False
LL3,128,2.810596712232832,4.4342150219786625,0.9195612431444241,128,1,-1.5229872138391514,0.04,False,-1.3822566349831102,0.12,False,-1.4996215235836783,0.0,True,-0.9363418218932441,0.4,False,-1.6475469713187296,0.04,False,-1.0657356244742504,0.12,False
H3,386,9.209028481234588,5.173323032999997,0.9097022094140249,386,1,-0.4505113432101095,0.88,False,-1.2348731242544693,0.28,False,0.062378226337172445,0.76,False,0.06516620625929995,0.92,False,-0.426023631022532,0.8,False,-1.1852169556828784,0.04,True
H5/6,193,3.1635670320624167,3.6300137052961277,0.8414634146341463,193,1,-1.473606643005268,0.04,False,-1.4246394675273797,0.04,True,-0.8547199278179164,0.32,False,-0.4394375632792394,0.6,False,-1.251263579761783,0.04,False,-1.3089260255004422,0.16,False
CV3,256,13.972125669748788,7.022130912550418,0.9834824501032347,256,0,1.3335851514605195,0.4,False,-0.5682573384904753,0.6,False,1.5368585385877265,0.2,False,-0.1341951124012762,0.92,False,1.5008550535885978,0.32,False,-0.4824314218273487,0.64,False
H4/5,428,8.556723825679896,5.686022495152589,0.8344246959775492,428,0,-1.033263550083954,0.28,False,-0.443474765074401,0.72,False,-0.2072401074164368,0.92,False,1.0742967848219838,0.28,False,-0.8537875539217269,0.44,False,-0.2551971245492304,0.8,False
"Iron, IIIAB",284,7.95506596348288,10.992120827517951,0.9946575342465754,284,0,-0.09348390686577189,0.92,False,9.730865175870614,0.0,False,-0.2801025317543609,0.6,False,5.146147636354101,0.0,False,-0.45519953249411005,0.8,False,10.397625590338292,0.0,False
L3,365,14.118958023856754,4.288703804156882,0.9203160270880361,365,0,0.6675594511688581,0.68,False,-0.9895797156853555,0.28,False,1.3944986683957168,0.32,False,0.2907481840583322,0.6,False,0.9576146156696113,0.36,False,-0.8536461785059888,0.44,False
CO3,334,10.200824745767223,5.618214834378258,0.9501385041551247,334,0,0.2414201443431871,0.68,False,-1.0958365339139011,0.28,False,0.7711248411643826,0.44,False,-0.18822692286501622,0.92,False,0.23461367608884365,0.84,False,-0.9333824511040775,0.28,False
Mesosiderite,136,4.899626723402749,8.083546365036048,0.984062059238364,136,0,-0.6929949047309443,0.52,False,0.06021529007091887,0.8,False,-0.4160634819728742,0.8,False,1.3740584960912796,0.2,False,-0.6388025672716319,0.72,False,0.2070919752590934,0.76,False
Diogenite,241,4.220150233573617,4.576205130096004,0.9057377049180327,241,0,-1.3001909161550413,0.08,False,-1.161644875278975,0.28,False,-1.1340591282658337,0.16,False,-0.9625337688371858,0.36,False,-1.1970323883814946,0.12,False,-1.4469713260775352,0.12,False
EH3,120,2.516950047847274,4.632709600420566,0.9485148514851485,120,0,-1.5340249332197116,0.08,False,-1.2514334875640885,0.24,False,-1.3209412194004593,0.08,False,-1.030050200008511,0.24,False,-1.7584627046375323,0.04,False,-1.3808001933770326,0.12,False
CR2,135,3.3204609575209005,3.4668562186711065,0.8334246575342467,135,0,-1.6154971219579546,0.08,False,-1.359192536044314,0.16,False,-0.9446234345624446,0.44,False,-0.5900482692693282,0.68,False,-1.263890879996252,0.2,False,-1.0503385510814043,0.16,False
"Iron, IIAB",117,6.687555569568358,7.2812540938018255,0.9612745098039216,117,0,0.3267575648309993,0.8,False,4.787047690424436,0.0,False,0.27030372058880564,0.88,False,2.3205338467073138,0.04,False,0.28315005101900614,0.72,False,4.803094056328556,0.0,False
"Iron, ungrouped",113,6.045479589373152,12.59970871586248,0.994,113,0,0.5976702391341424,0.52,False,6.135764011598696,0.0,False,-0.0007610396964030012,0.92,False,3.944270931183902,0.0,False,-0.05078204367637856,0.96,False,5.241673462305091,0.0,False
H~5,111,5.212056012823311,5.067453375589915,0.9448946515397082,111,0,-0.6436932523909976,0.64,False,-0.546248869450069,0.68,False,0.21096091853898974,0.84,False,0.5330503826408816,0.48,False,-0.27218558495487777,1.0,False,-0.17816691550836086,0.96,False
Eucrite-mmict,108,5.604643626102179,5.146631335825125,0.8292565223948124,108,0,0.23217367627898233,0.6,False,0.5322751565604318,0.48,False,-0.08601148922772023,0.8,False,-0.2469842524557979,0.96,False,0.3501211670351895,0.68,False,0.43696563138674055,0.52,False
